Parity,Head,Tail,Close
FIDAUSDT,FIDA,USDT,0.23020000
FIDABUSD,FIDA,BUSD,0.23030000
FIDABTC,FIDA,BTC,0.00000888
DENTBUSD,DENT,BUSD,0.00065800
FRONTUSDT,FRONT,USDT,0.13560000
CVPUSDT,CVP,USDT,0.31300000
AGLDBTC,AGLD,BTC,0.00001886
AGLDBUSD,AGLD,BUSD,0.48700000
AGLDUSDT,AGLD,USDT,0.48800000
RADBTC,RAD,BTC,0.00006430
RADBUSD,RAD,BUSD,1.65500000
RADUSDT,RAD,USDT,1.65600000
HIVEBUSD,HIVE,BUSD,0.29440000
STPTBUSD,STPT,BUSD,0.03517000
BETABTC,BETA,BTC,0.00000304
BETABNB,BETA,BNB,0.00032720
BETABUSD,BETA,BUSD,0.07865000
BETAUSDT,BETA,USDT,0.07872000
RAREBTC,RARE,BTC,0.00000249
RAREBUSD,RARE,BUSD,0.06440000
RAREUSDT,RARE,USDT,0.06420000
AVAXBRL,AVAX,BRL,57.60000000
TROYBUSD,TROY,BUSD,0.00194200
AXSETH,AXS,ETH,0.00280300
FTMETH,FTM,ETH,0.00015040
SOLETH,SOL,ETH,0.00860000
SSVBTC,SSV,BTC,0.00063440
SSVETH,SSV,ETH,0.00941100
LAZIOTRY,LAZIO,TRY,45.15300000
LAZIOEUR,LAZIO,EUR,1.76510000
LAZIOBTC,LAZIO,BTC,0.00007243
LAZIOUSDT,LAZIO,USDT,1.88940000
CHESSBTC,CHESS,BTC,0.00000490
CHESSBUSD,CHESS,BUSD,0.12680000
CHESSUSDT,CHESS,USDT,0.12650000
SCRTBUSD,SCRT,BUSD,0.29800000
ADXUSDT,ADX,USDT,0.13170000
AUCTIONUSDT,AUCTION,USDT,3.82000000
CELOBUSD,CELO,BUSD,0.41100000
REEFTRY,REEF,TRY,0.03700000
SHIBDOGE,SHIB,DOGE,0.00010980
DARUSDT,DAR,USDT,0.09658000
DARBUSD,DAR,BUSD,0.09649000
DARBNB,DAR,BNB,0.00040160
DARBTC,DAR,BTC,0.00000371
BNXBTC,BNX,BTC,0.00001040
BNXBNB,BNX,BNB,0.00110700
BNXBUSD,BNX,BUSD,0.26900000
BNXUSDT,BNX,USDT,0.26900000
LAZIOBUSD,LAZIO,BUSD,1.88750000
OXTBUSD,OXT,BUSD,0.05120000
MANATRY,MANA,TRY,8.16000000
ALGORUB,ALGO,RUB,9.59000000
MOVRBTC,MOVR,BTC,0.00019050
MOVRBUSD,MOVR,BUSD,4.94000000
MOVRUSDT,MOVR,USDT,4.93000000
CITYBTC,CITY,BTC,0.00013320
CITYBUSD,CITY,BUSD,3.48000000
CITYUSDT,CITY,USDT,3.48000000
ENSBTC,ENS,BTC,0.00029390
ENSBNB,ENS,BNB,0.03160000
ENSBUSD,ENS,BUSD,7.60000000
ENSUSDT,ENS,USDT,7.60000000
SANDETH,SAND,ETH,0.00022150
DOTETH,DOT,ETH,0.00265600
MATICETH,MATIC,ETH,0.00037030
ANKRBUSD,ANKR,BUSD,0.02007000
SANDTRY,SAND,TRY,9.23000000
MANABRL,MANA,BRL,1.65500000
KP3RUSDT,KP3R,USDT,52.54000000
QIUSDT,QI,USDT,0.00580000
QIBUSD,QI,BUSD,0.00580000
QIBTC,QI,BTC,0.00000022
PORTOBTC,PORTO,BTC,0.00006958
PORTOUSDT,PORTO,USDT,1.81600000
PORTOTRY,PORTO,TRY,43.32000000
PORTOEUR,PORTO,EUR,1.68280000
POWRUSDT,POWR,USDT,0.12760000
POWRBUSD,POWR,BUSD,0.12750000
AVAXETH,AVAX,ETH,0.00674000
SLPTRY,SLP,TRY,0.03727000
LRCTRY,LRC,TRY,5.14000000
CHRETH,CHR,ETH,0.00006850
VGXUSDT,VGX,USDT,0.10100000
GALAETH,GALA,ETH,0.00001257
JASMYUSDT,JASMY,USDT,0.00348400
JASMYBUSD,JASMY,BUSD,0.00348800
AMPBUSD,AMP,BUSD,0.00200800
AMPUSDT,AMP,USDT,0.00200900
PLABTC,PLA,BTC,0.00000529
PLABUSD,PLA,BUSD,0.13700000
PLAUSDT,PLA,USDT,0.13690000
PYRBTC,PYR,BTC,0.00011240
PYRBUSD,PYR,BUSD,2.90300000
PYRUSDT,PYR,USDT,2.90900000
RNDRBTC,RNDR,BTC,0.00007480
RNDRUSDT,RNDR,USDT,1.93600000
RNDRBUSD,RNDR,BUSD,1.93700000
ALCXBTC,ALCX,BTC,0.00053000
ALCXBUSD,ALCX,BUSD,13.77000000
ALCXUSDT,ALCX,USDT,13.78000000
SANTOSBTC,SANTOS,BTC,0.00012577
SANTOSUSDT,SANTOS,USDT,3.25400000
SANTOSTRY,SANTOS,TRY,77.79000000
MCBTC,MC,BTC,0.00000655
MCBUSD,MC,BUSD,0.16960000
MCUSDT,MC,USDT,0.16990000
BELTRY,BEL,TRY,13.56000000
DENTTRY,DENT,TRY,0.01578000
ENJTRY,ENJ,TRY,6.10000000
NEORUB,NEO,RUB,665.00000000
BICOBTC,BICO,BTC,0.00000832
BICOBUSD,BICO,BUSD,0.21560000
BICOUSDT,BICO,USDT,0.21640000
FLUXBTC,FLUX,BTC,0.00001625
FLUXBUSD,FLUX,BUSD,0.42100000
FLUXUSDT,FLUX,USDT,0.42100000
ALICETRY,ALICE,TRY,21.67000000
FXSUSDT,FXS,USDT,4.99800000
GALABRL,GALA,BRL,0.10680000
GALATRY,GALA,TRY,0.52270000
LUNATRY,LUNA,TRY,14.54000000
REQBUSD,REQ,BUSD,0.07200000
SANDBRL,SAND,BRL,1.86800000
VOXELBTC,VOXEL,BTC,0.00000513
VOXELBUSD,VOXEL,BUSD,0.13360000
VOXELUSDT,VOXEL,USDT,0.13350000
COSBUSD,COS,BUSD,0.00504000
CTXCBUSD,CTXC,BUSD,0.15080000
FTMTRY,FTM,TRY,6.24800000
MINATRY,MINA,TRY,9.97000000
XTZTRY,XTZ,TRY,17.25000000
HIGHBTC,HIGH,BTC,0.00004924
HIGHBUSD,HIGH,BUSD,1.27200000
HIGHUSDT,HIGH,USDT,1.27200000
CVXBTC,CVX,BTC,0.00013320
CVXBUSD,CVX,BUSD,3.44300000
CVXUSDT,CVX,USDT,3.44500000
PEOPLEBTC,PEOPLE,BTC,0.00000044
PEOPLEBUSD,PEOPLE,BUSD,0.01159000
PEOPLEUSDT,PEOPLE,USDT,0.01158000
OOKIBUSD,OOKI,BUSD,0.00226000
OOKIUSDT,OOKI,USDT,0.00227000
LINKBNB,LINK,BNB,0.02195000
MDTBUSD,MDT,BUSD,0.03823000
NULSBUSD,NULS,BUSD,0.19500000
SPELLUSDT,SPELL,USDT,0.00043820
SPELLBUSD,SPELL,BUSD,0.00043660
JOEBTC,JOE,BTC,0.00001246
JOEBUSD,JOE,BUSD,0.32350000
JOEUSDT,JOE,USDT,0.32370000
ATOMETH,ATOM,ETH,0.00497500
DUSKBUSD,DUSK,BUSD,0.10560000
EGLDETH,EGLD,ETH,0.01752000
ICPETH,ICP,ETH,0.00225400
NEARETH,NEAR,ETH,0.00069000
ATOMTRY,ATOM,TRY,206.70000000
LRCBNB,LRC,BNB,0.00089500
ONEETH,ONE,ETH,0.00000618
ACHBTC,ACH,BTC,0.00000077
ACHBUSD,ACH,BUSD,0.01994000
ACHUSDT,ACH,USDT,0.01991000
IMXBTC,IMX,BTC,0.00002398
IMXBUSD,IMX,BUSD,0.62000000
IMXUSDT,IMX,USDT,0.61900000
GLMRBTC,GLMR,BTC,0.00000852
GLMRBUSD,GLMR,BUSD,0.22090000
GLMRUSDT,GLMR,USDT,0.22100000
ICPTRY,ICP,TRY,93.80000000
ROSEETH,ROSE,ETH,0.00002576
UMABUSD,UMA,BUSD,1.53000000
UNIETH,UNI,ETH,0.00246400
XTZETH,XTZ,ETH,0.00041600
LOKABTC,LOKA,BTC,0.00000890
LOKABNB,LOKA,BNB,0.00095750
LOKABUSD,LOKA,BUSD,0.23080000
LOKAUSDT,LOKA,USDT,0.22980000
CRVETH,CRV,ETH,0.00037200
HIGHBNB,HIGH,BNB,0.00520500
NEARRUB,NEAR,RUB,101.40000000
ROSETRY,ROSE,TRY,1.07100000
SCRTUSDT,SCRT,USDT,0.29800000
API3BTC,API3,BTC,0.00003649
API3BUSD,API3,BUSD,0.94200000
API3USDT,API3,USDT,0.94600000
BTTCUSDT,BTTC,USDT,0.00000053
BTTCTRY,BTTC,TRY,0.00001277
ACABTC,ACA,BTC,0.00000125
ACABUSD,ACA,BUSD,0.03250000
ACAUSDT,ACA,USDT,0.03250000
BDOTDOT,BDOT,DOT,0.88690000
XNOBTC,XNO,BTC,0.00002584
XNOBUSD,XNO,BUSD,0.67100000
XNOUSDT,XNO,USDT,0.66600000
COSTRY,COS,TRY,0.12030000
KAVAETH,KAVA,ETH,0.00046280
MCBNB,MC,BNB,0.00070200
ONETRY,ONE,TRY,0.25700000
WOOBTC,WOO,BTC,0.00000642
WOOBNB,WOO,BNB,0.00069100
WOOBUSD,WOO,BUSD,0.16580000
WOOUSDT,WOO,USDT,0.16590000
PEOPLEBNB,PEOPLE,BNB,0.00004802
SPELLTRY,SPELL,TRY,0.01047000
TFUELBUSD,TFUEL,BUSD,0.03220000
AXSTRY,AXS,TRY,117.00000000
DARTRY,DAR,TRY,2.30800000
NEARTRY,NEAR,TRY,28.71000000
IDEXBNB,IDEX,BNB,0.00024170
ALPINEEUR,ALPINE,EUR,1.77680000
ALPINETRY,ALPINE,TRY,45.52000000
ALPINEUSDT,ALPINE,USDT,1.90350000
ALPINEBTC,ALPINE,BTC,0.00007355
TUSDT,TUSD,T,0.01809000
TBUSD,T,BUSD,0.01809000
BETAETH,BETA,ETH,0.00004520
INJTRY,INJ,TRY,144.15000000
ASTRBUSD,ASTR,BUSD,0.03760000
ASTRUSDT,ASTR,USDT,0.03770000
API3TRY,API3,TRY,22.63000000
MBOXTRY,MBOX,TRY,7.41000000
NBTBIDR,NBT,BIDR,41.20
NBTUSDT,NBT,USDT,0.00276000
GMTBTC,GMT,BTC,0.00000741
GMTBNB,GMT,BNB,0.00079900
GMTBUSD,GMT,BUSD,0.19190000
GMTUSDT,GMT,USDT,0.19180000
ATOMEUR,ATOM,EUR,8.06400000
GALAEUR,GALA,EUR,0.02027000
UMATRY,UMA,TRY,36.60000000
KDABTC,KDA,BTC,0.00002143
KDABUSD,KDA,BUSD,0.55600000
KDAUSDT,KDA,USDT,0.55500000
APEUSDT,APE,USDT,2.22700000
APEBUSD,APE,BUSD,2.22700000
APEBTC,APE,BTC,0.00008593
ALPINEBUSD,ALPINE,BUSD,1.90360000
NEAREUR,NEAR,EUR,1.11800000
TWTTRY,TWT,TRY,17.69000000
WAVESEUR,WAVES,EUR,1.29300000
APEEUR,APE,EUR,2.07200000
APETRY,APE,TRY,53.30000000
BSWUSDT,BSW,USDT,0.08660000
BSWBUSD,BSW,BUSD,0.08620000
BSWBNB,BSW,BNB,0.00035970
APEBNB,APE,BNB,0.00924000
GMTETH,GMT,ETH,0.00011020
JASMYTRY,JASMY,TRY,0.08334000
SANTOSBUSD,SANTOS,BUSD,3.25800000
BIFIUSDT,BIFI,USDT,356.30000000
GMTEUR,GMT,EUR,0.17930000
IMXBNB,IMX,BNB,0.00258400
RUNEETH,RUNE,ETH,0.00048800
MULTIBTC,MULTI,BTC,0.00013120
MULTIBUSD,MULTI,BUSD,3.39000000
MULTIUSDT,MULTI,USDT,3.39000000
APEETH,APE,ETH,0.00127900
FILTRY,FIL,TRY,88.32000000
FTMEUR,FTM,EUR,0.24350000
ZILTRY,ZIL,TRY,0.41600000
GMTTRY,GMT,TRY,4.59000000
WAVESTRY,WAVES,TRY,33.20000000
ASTRBTC,ASTR,BTC,0.00000145
BSWTRY,BSW,TRY,2.06700000
FUNBNB,FUN,BNB,0.00001579
PORTOBUSD,PORTO,BUSD,1.81390000
STEEMUSDT,STEEM,USDT,0.15660000
AUDIOTRY,AUDIO,TRY,4.11600000
BTTCBUSD,BTTC,BUSD,0.00000054
MBLBUSD,MBL,BUSD,0.00240900
MOBUSDT,MOB,USDT,0.56100000
MOBBUSD,MOB,BUSD,0.56100000
MOBBTC,MOB,BTC,0.00002166
NEXOUSDT,NEXO,USDT,0.62400000
NEXOBUSD,NEXO,BUSD,0.62300000
NEXOBTC,NEXO,BTC,0.00002408
REIUSDT,REI,USDT,0.02075000
GALUSDT,GAL,USDT,1.18900000
GALBUSD,GAL,BUSD,1.18900000
GALBNB,GAL,BNB,0.00490500
GALBTC,GAL,BTC,0.00004601
KNCBNB,KNC,BNB,0.00201100
GALEUR,GAL,EUR,1.08900000
GALTRY,GAL,TRY,28.40000000
LDOBUSD,LDO,BUSD,1.76700000
LDOUSDT,LDO,USDT,1.76700000
LDOBTC,LDO,BTC,0.00006833
ENSTRY,ENS,TRY,181.60000000
DAREUR,DAR,EUR,0.08983000
ALGOETH,ALGO,ETH,0.00006500
ALGOTRY,ALGO,TRY,2.70900000
EPXUSDT,EPX,USDT,0.00018750
EPXBUSD,EPX,BUSD,0.00018780
STEEMBUSD,STEEM,BUSD,0.15660000
CVCBUSD,CVC,BUSD,0.07130000
REIBUSD,REI,BUSD,0.02070000
DREPBUSD,DREP,BUSD,0.31090000
AKROBUSD,AKRO,BUSD,0.00495000
PUNDIXBUSD,PUNDIX,BUSD,0.32700000
LUNCBUSD,LUNC,BUSD,0.00009404
USTCBUSD,USTC,BUSD,0.01147848
OPBTC,OP,BTC,0.00004431
OPBUSD,OP,BUSD,1.14600000
OPUSDT,OP,USDT,1.14600000
OGBUSD,OG,BUSD,4.62400000
KEYBUSD,KEY,BUSD,0.00605600
ASRBUSD,ASR,BUSD,2.50000000
FIROBUSD,FIRO,BUSD,1.33800000
NKNBUSD,NKN,BUSD,0.09670000
OPBNB,OP,BNB,0.00477000
OPEUR,OP,EUR,1.06700000
SNXETH,SNX,ETH,0.00103900
WBTCBUSD,WBTC,BUSD,25864.69000000
LITETH,LIT,ETH,0.00035720
LEVERUSDT,LEVER,USDT,0.00115700
LEVERBUSD,LEVER,BUSD,0.00115800
PEOPLEETH,PEOPLE,ETH,0.00000658
STORJTRY,STORJ,TRY,5.52000000
OPETH,OP,ETH,0.00065700
ETCTRY,ETC,TRY,363.50000000
FILETH,FIL,ETH,0.00212600
GLMBUSD,GLM,BUSD,0.16960000
SSVBUSD,SSV,BUSD,16.41000000
STGBTC,STG,BTC,0.00002100
STGBUSD,STG,BUSD,0.54430000
STGUSDT,STG,USDT,0.54290000
ANKRTRY,ANKR,TRY,0.48000000
ARKBUSD,ARK,BUSD,0.22160000
BETHBUSD,BETH,BUSD,1739.00000000
LOOMBUSD,LOOM,BUSD,0.03963000
SNMBUSD,SNM,BUSD,0.28870000
AMBBUSD,AMB,BUSD,0.00815000
LUNCUSDT,LUNC,USDT,0.00009392
PHBBUSD,PHB,BUSD,0.60530000
GASBUSD,GAS,BUSD,2.26700000
PROSBUSD,PROS,BUSD,0.29710000
VIBBUSD,VIB,BUSD,0.04507000
GMXBTC,GMX,BTC,0.00175600
GMXBUSD,GMX,BUSD,45.41000000
GMXUSDT,GMX,USDT,45.41000000
AGIXBUSD,AGIX,BUSD,0.20474000
SNTBUSD,SNT,BUSD,0.02042000
POLYXBTC,POLYX,BTC,0.00000398
POLYXBUSD,POLYX,BUSD,0.10350000
POLYXUSDT,POLYX,USDT,0.10350000
APTBTC,APT,BTC,0.00024169
APTUSDT,APT,USDT,6.25180000
APTBUSD,APT,BUSD,6.25300000
BTCPLN,BTC,PLN,108060.00000000
ETHPLN,ETH,PLN,7260.00000000
BUSDPLN,BUSD,PLN,4.17000000
APTEUR,APT,EUR,5.82940000
APTTRY,APT,TRY,149.60000000
QKCBUSD,QKC,BUSD,0.00725000
OSMOBTC,OSMO,BTC,0.00001797
OSMOUSDT,OSMO,USDT,0.46600000
OSMOBUSD,OSMO,BUSD,0.46600000
HFTBTC,HFT,BTC,0.00001408
HFTBUSD,HFT,BUSD,0.36470000
HFTUSDT,HFT,USDT,0.36400000
ARPAETH,ARPA,ETH,0.00002836
PHBUSDT,PHB,USDT,0.60440000
HOOKBTC,HOOK,BTC,0.00003766
HOOKUSDT,HOOK,USDT,0.97420000
HOOKBUSD,HOOK,BUSD,0.97420000
HOOKBNB,HOOK,BNB,0.00404140
MAGICBTC,MAGIC,BTC,0.00002672
MAGICBUSD,MAGIC,BUSD,0.69140000
MAGICUSDT,MAGIC,USDT,0.69120000
BUSDRON,BUSD,RON,4.67600000
HIFIETH,HIFI,ETH,0.00015210
HIFIUSDT,HIFI,USDT,0.26490000
RPLBTC,RPL,BTC,0.00159100
RPLBUSD,RPL,BUSD,41.20000000
RPLUSDT,RPL,USDT,41.23000000
PROSUSDT,PROS,USDT,0.29670000
FETTRY,FET,TRY,4.49800000
GFTBUSD,GFT,BUSD,0.01308000
AGIXUSDT,AGIX,USDT,0.20463000
APTETH,APT,ETH,0.00359700
BTCRON,BTC,RON,121214.00000000
GNSUSDT,GNS,USDT,3.83800000
GNSBTC,GNS,BTC,0.00014800
SYNBTC,SYN,BTC,0.00002163
SYNUSDT,SYN,USDT,0.56050000
VIBUSDT,VIB,USDT,0.04505000
SSVUSDT,SSV,USDT,16.41000000
LQTYUSDT,LQTY,USDT,0.87600000
LQTYBTC,LQTY,BTC,0.00003386
AMBUSDT,AMB,USDT,0.00814000
BETHUSDT,BETH,USDT,1737.68000000
CFXTRY,CFX,TRY,4.41800000
STXTRY,STX,TRY,12.28000000
USTCUSDT,USTC,USDT,0.01147751
GASUSDT,GAS,USDT,2.26200000
GLMUSDT,GLM,USDT,0.16930000
PROMUSDT,PROM,USDT,3.79000000
QKCUSDT,QKC,USDT,0.00725300
UFTUSDT,UFT,USDT,0.23660000
IDBTC,ID,BTC,0.00001108
IDBNB,ID,BNB,0.00119510
IDUSDT,ID,USDT,0.28636000
ARBBTC,ARB,BTC,0.00003826
ARBUSDT,ARB,USDT,0.98940000
AGIXTRY,AGIX,TRY,4.89900000
LOOMUSDT,LOOM,USDT,0.03963000
OAXUSDT,OAX,USDT,0.15830000
ARBTUSD,ARB,TUSD,0.98860000
ARBTRY,ARB,TRY,23.67000000
ARBEUR,ARB,EUR,0.92190000
IDTUSD,ID,TUSD,0.28650000
IDTRY,ID,TRY,6.85400000
IDEUR,ID,EUR,0.26727000
LDOTUSD,LDO,TUSD,1.76800000
MATICTUSD,MATIC,TUSD,0.64280000
OPTUSD,OP,TUSD,1.14500000
SOLTUSD,SOL,TUSD,14.96000000
SSVTUSD,SSV,TUSD,16.45000000
RDNTBTC,RDNT,BTC,0.00000993
RDNTUSDT,RDNT,USDT,0.25710000
RDNTTUSD,RDNT,TUSD,0.25710000
ARBRUB,ARB,RUB,84.00000000
JOETRY,JOE,TRY,7.75000000
MAGICTRY,MAGIC,TRY,16.50000000
USDTPLN,USDT,PLN,4.17100000
ACHTRY,ACH,TRY,0.47640000
XVSTRY,XVS,TRY,83.50000000
EGLDRON,EGLD,RON,142.40000000
USDTRON,USDT,RON,4.67900000
USDTARS,USDT,ARS,489.10000000
DOGETUSD,DOGE,TUSD,0.06153000
WBTCUSDT,WBTC,USDT,25916.82000000
EDUUSDT,EDU,USDT,0.78881000
EDUTUSD,EDU,TUSD,0.78689000
EDUBNB,EDU,BNB,0.00329010
EDUBTC,EDU,BTC,0.00003051
EDUEUR,EDU,EUR,0.73254000
EDUTRY,EDU,TRY,18.90000000
SUIUSDT,SUI,USDT,0.69090000
SUITUSD,SUI,TUSD,0.68920000
SUIBTC,SUI,BTC,0.00002671
SUIBNB,SUI,BNB,0.00287400
SUIEUR,SUI,EUR,0.64700000
SUITRY,SUI,TRY,16.51000000
AERGOUSDT,AERGO,USDT,0.09430000
RNDRTRY,RNDR,TRY,46.58000000
PEPEUSDT,PEPE,USDT,0.00000092
PEPETUSD,PEPE,TUSD,0.00000090
FLOKIUSDT,FLOKI,USDT,0.00002201
FLOKITUSD,FLOKI,TUSD,0.00002201
OGTRY,OG,TRY,110.60000000
PEPETRY,PEPE,TRY,0.00002196
WBETHETH,WBETH,ETH,1.00100000
ASTUSDT,AST,USDT,0.10250000
SNTUSDT,SNT,USDT,0.02042000
FLOKITRY,FLOKI,TRY,0.00052720
CITYTRY,CITY,TRY,83.20000000
COMBOUSDT,COMBO,USDT,0.97500000
COMBOBNB,COMBO,BNB,0.00405400
COMBOTRY,COMBO,TRY,23.27000000
LTCTRY,LTC,TRY,1850.00000000
RADTRY,RAD,TRY,39.62000000
